"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 30 15:11:49 GMT 2023","Thu Nov 30 15:11:49 GMT 2023","0","","","","Allure\Examples\Tests\WebUITests\MilestoneTest","testCreateNewMilestoneByAuthorizedUser","Create new milestone by authorized user",""
"failed","Thu Nov 30 15:11:49 GMT 2023","Thu Nov 30 15:11:49 GMT 2023","0","","","","Allure\Examples\Tests\WebUITests\LabelTest","testLabelDeletedByAuthorizedUser","Delete existing label by authorized user",""
"passed","Thu Nov 30 15:11:49 GMT 2023","Thu Nov 30 15:11:49 GMT 2023","1","","","","Allure\Examples\Tests\WebUITests\MilestoneTest","testCloseMilestoneByAuthorizedUser","Close existing milestone by authorized user",""
"broken","Thu Nov 30 15:11:49 GMT 2023","Thu Nov 30 15:11:49 GMT 2023","1","","","","Allure\Examples\Tests\WebUITests\LabelTest","testLabelAddedToExistingIssue","Add label to existing issue by authorized user",""
"passed","Thu Nov 30 15:11:49 GMT 2023","Thu Nov 30 15:11:49 GMT 2023","0","","","","Allure\Examples\Tests\RestAPITests\LabelTest","testDeleteLabel","Delete label via API",""
"passed","Thu Nov 30 15:11:49 GMT 2023","Thu Nov 30 15:11:49 GMT 2023","1","","","","Allure\Examples\Tests\RestAPITests\LabelTest","testNewLabel","Create new label via API",""
"broken","Thu Nov 30 15:11:49 GMT 2023","Thu Nov 30 15:11:49 GMT 2023","0","","","","Allure\Examples\Tests\WebUITests\LabelTest","testLabelCreatedByauthorizedUser","Create new label by authorized user",""
